#num  sigma8cb    ochh      ns     obhh      w0      wa     Nur     nrun
#
# sigma8cb  Min: 0.6806631684  Max: 0.9413099885   
#       Mean: 0.8076252341 +- 0.0513609834   Median: 0.8113549948 +- 0.04363448545
#  
# ochh  Min: 0.1031539962  Max: 0.140013814   
#       Mean: 0.1198741421 +- 0.006922176108   Median: 0.1199999973 +- 0.005867722444
#  
# ns  Min: 0.9011918306  Max: 1.02489996   
#       Mean: 0.9620190263 +- 0.02388008498   Median: 0.9649000168 +- 0.02184554376
#  
# obhh  Min: 0.0207291469  Max: 0.02428326197   
#       Mean: 0.02233411558 +- 0.0006667872076   Median: 0.02236999944 +- 0.0003420947469
#  
# w0  Min: -1.27131629  Max: -0.6999999881   
#       Mean: -0.9831360579 +- 0.1090680733   Median: -1 +- 0
#  
# wa  Min: -0.6280469894  Max: 0.6207804084   
#       Mean: -0.02398577146 +- 0.2417316437   Median: 0 +- 0
#  
# Nur  Min: 1.176858187  Max: 2.888933897   
#       Mean: 2.025164843 +- 0.3517045081   Median: 2.032799959 +- 0
#  
# nrun  Min: -0.03752729669  Max: 0.03838388249   
#       Mean: 0.001229676302 +- 0.01441937126   Median: 0 +- 0
#  
# num  Min: 0  Max: 181   
#       Mean: 134.216217 +- 42.96805954   Median: 145 +- 37.0370369
#  
# _enum  Min: -1  Max: 51   
#       Mean: 17.62162209 +- 17.58322906   Median: 15 +- 25.18518448
